Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
BFPadjBMI custom,BFPadjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387669,,0.00114673956874375,-0.0157595353954793,,,continuous-BFPadjBMI_custom-both_sexes--custom
H52 Disorders of refraction and accommodation,131208,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,4104,390737,0.00118338288267668,0.256599090167473,,,icd_first_occurrence-131208-both_sexes--
Macular degeneration,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,234,394549,0.00136548604143149,0.989759379727937,,,categorical-20002-both_sexes-1528-
Actonel 5mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,285,213303,0.00157720922919254,0.917735679691794,,,categorical-20003-both_sexes-1141175690-
Z12 Special screening examination for neoplasms,Z12,icd10,,Chapter XXI Factors influencing health status and contact with health services | Z00-Z13 Persons encountering health services for examination and investigation | Z12 Special screening examination for neoplasms,,5762,389079,0.00184256349556852,0.208508545350423,,,icd10-Z12-both_sexes--
C67 Malignant neoplasm of bladder,C67,icd10,,Chapter II Neoplasms | C64-C68 Malignant neoplasms of urinary tract | C67 Malignant neoplasm of bladder,,2047,392794,0.00187760733425846,0.344813949089064,,,icd10-C67-both_sexes--
T85.1 Block dissection of cervical lymph nodes,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,354,394487,0.001932897930469,-0.818183673422716,,,categorical-41210-both_sexes-T851-
"Father's age at death",1807,continuous,,UK Biobank Assessment Centre > Touchscreen > Family history,,291196,,0.00197921794492403,0.028479177143066,,,continuous-1807-both_sexes--irnt
Comparative body size at age 10,1687,continuous,,UK Biobank Assessment Centre > Touchscreen > Early life factors,,388179,,0.00201155431638418,0.0168440100921561,,,continuous-1687-both_sexes--
Frequency of consuming six or more units of alcohol,20416,continuous,,Online follow-up > Mental health > Alcohol use,,117773,,0.00215368764157351,-0.0508357659862365,,,continuous-20416-both_sexes--
Red blood cell (erythrocyte) count,30010,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383469,,0.00216866679067924,0.0204936656140642,,,continuous-30010-both_sexes--irnt
Propranolol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,2617,392166,0.00340723731457171,-0.291131173812265,,,categorical-20003-both_sexes-1140879842-
Fat,100004,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.0035661104299792,0.0597872917301667,,,continuous-100004-both_sexes--irnt
K45 Other abdominal hernia,131622,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,179,394662,0.00366911389711709,1.05478063154478,,,icd_first_occurrence-131622-both_sexes--
C91 Lymphoid leukaemia,C91,icd10,,"Chapter II Neoplasms | C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue | C91 Lymphoid leukaemia",,607,394234,0.00374902438880289,0.590381597381029,,,icd10-C91-both_sexes--
Colpermin 0.2ml m/r gel e/c capsule,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,354,394429,0.00375883297769444,0.766952242750754,,,categorical-20003-both_sexes-1140865416-
"Medication for pain relief, constipation, heartburn",6154,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,7508,383175,0.0037893212604033,0.172208399593803,,,categorical-6154-both_sexes-4-
IOP Corneal left custom,IOP_Corneal_left_custom,continuous,,,,83193,,0.00412736838548378,0.225492201318243,,,continuous-IOP_Corneal_left_custom-both_sexes--custom
Forced vital capacity (FVC),3062,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,360076,,0.00414133393141723,0.0168515229838478,,,continuous-3062-both_sexes--irnt
Leukaemia,20001,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,178,394605,0.0041430498439873,1.044901614559,,,categorical-20001-both_sexes-1048-
AFFMIadjBMI female custom,AFFMIadjBMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,210019,,0.0041958163388397,0.0344113007222439,,,continuous-AFFMIadjBMI_female_custom-females--custom
Leg fat percentage (left),23115,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387925,,0.00431870756747493,-0.0138502218195758,,,continuous-23115-both_sexes--irnt
Q12.1 Introduction of intrauterine contraceptive device,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1457,212156,0.00436086256640031,0.386660924203875,,,categorical-41200-both_sexes-Q121-
Emphysema/chronic bronchitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,5472,389311,0.00439055038811189,-0.196339263309228,,,categorical-20002-both_sexes-1113-
Aspartate aminotransferase,30650,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,375430,,0.00458730045178369,-0.021769938301047,,,continuous-30650-both_sexes--irnt
Alcohol drinker status,20117,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,12289,382000,0.0046753456135631,0.1302565978928,,,categorical-20117-both_sexes-0-
Vitamin B12,100013,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.0050881065545608,0.0579389897322569,,,continuous-100013-both_sexes--irnt
W26.2 Manipulation of fracture of bone NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,254,394587,0.0052001699830029,0.873958376210287,,,categorical-41210-both_sexes-W262-
Allergy or anaphylactic reaction to drug,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,3466,391317,0.00526930990492951,-0.243653172618585,,,categorical-20002-both_sexes-1386-
Spasmonal 60mg capsule,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,258,394525,0.00543792413199798,0.869811444818922,,,categorical-20003-both_sexes-1140865336-
"K73 Chronic hepatitis, not elsewhere classified",131664,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,217,394624,0.00544648647369494,0.931279575953283,,,icd_first_occurrence-131664-both_sexes--
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",6152,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,,6709,387424,0.00554486013633556,-0.171554731000982,,,categorical-6152-both_sexes-6-
M42.1 Endoscopic resection of lesion of bladder,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1879,392962,0.00584140077718078,0.319208245426964,,,categorical-41200-both_sexes-M421-
C54.4 Buckling of sclera and local or encircling explant HFQ,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,187,394654,0.00596839266572272,0.997989249221345,,,categorical-41210-both_sexes-C544-
FFMIadjBMI custom,FFMIadjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387569,,0.00597166735528132,0.0130716951304716,,,continuous-FFMIadjBMI_custom-both_sexes--custom
Cystatin C,30720,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376784,,0.00612161169368271,-0.0198626044127288,,,continuous-30720-both_sexes--irnt
S13.1 Punch biopsy of lesion of skin of head or neck,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,928,393913,0.00618091731492834,0.454549507733716,,,categorical-41210-both_sexes-S131-
C13.1 Blepharoplasty of both eyelids,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,189,394652,0.00625397728423394,0.988065375538301,,,categorical-41200-both_sexes-C131-
M42.2 Endoscopic cauterisation of lesion of bladder,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1001,393840,0.0063936984919027,0.43364374120617,,,categorical-41200-both_sexes-M422-
Total bilirubin,30840,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,375237,,0.00653429294431177,-0.0250322214455093,,,continuous-30840-both_sexes--irnt
FFMIadjBMI female custom,FFMIadjBMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,209946,,0.0065795517097222,0.0338691759303116,,,continuous-FFMIadjBMI_female_custom-females--custom
M47.9 Unspecified urethral catheterisation of bladder,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2224,392617,0.00667269825773675,-0.292865904789536,,,categorical-41200-both_sexes-M479-
Eprosartan,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,226,394557,0.00670939099741097,0.90575708099955,,,categorical-20003-both_sexes-1141171336-
Alcohol,100022,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.00709677442066909,-0.0471370675975338,,,continuous-100022-both_sexes--
M85 Other disorders of bone density and structure,131972,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,9939,384902,0.00723623950114441,0.13765562450796,,,icd_first_occurrence-131972-both_sexes--
B18 Chronic viral hepatitis,130200,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,383,394458,0.00774095974137158,0.673695347122207,,,icd_first_occurrence-130200-both_sexes--
Falls in the last year,2296,continuous,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health,,393948,,0.00819173315205276,-0.0121218218398556,,,continuous-2296-both_sexes--
M95 Other acquired deformities of musculoskeletal system and connective tissue,131992,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,1751,393090,0.00883474289235773,0.316384326089762,,,icd_first_occurrence-131992-both_sexes--
Leg fat percentage (right),23111,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387945,,0.00897284248920839,-0.0128511388148596,,,continuous-23111-both_sexes--irnt
M02.5 Nephrectomy NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,494,394347,0.00938418294649874,0.589131934478935,,,categorical-41200-both_sexes-M025-
Lacidipine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,413,394370,0.00959600014841832,-0.646015054930087,,,categorical-20003-both_sexes-1140861276-
W87.9 Unspecified diagnostic endoscopic examination of knee joint,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,253,394588,0.00971549268395359,0.825465243665988,,,categorical-41210-both_sexes-W879-
Rheumatoid arthritis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,4446,390337,0.00973075892640031,-0.195127831206994,,,categorical-20002-both_sexes-1464-
M86 Osteomyelitis,131974,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,1770,393071,0.00991088619853489,0.311867209163292,,,icd_first_occurrence-131974-both_sexes--
Senokot 7.5mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,163,394620,0.0100901491183699,1.01218235145596,,,categorical-20003-both_sexes-1140851088-
Body fat percentage,23099,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387753,,0.0104176050771503,-0.0153072512332245,,,continuous-23099-both_sexes--irnt
E28 Ovarian dysfunction,130736,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,1678,211935,0.0105454725770759,-0.319732908566311,,,icd_first_occurrence-130736-both_sexes--
body fat percent custom,body_fat_percent_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387753,,0.0106748766666252,-0.0152570674111654,,,continuous-body_fat_percent_custom-both_sexes--custom
W83.8 Other specified therapeutic endoscopic operations on other articular cartilage,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,280,394561,0.0107540732604376,0.749211665864152,,,categorical-41200-both_sexes-W838-
Joint pain,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1324,393459,0.0107617641461226,0.353032337650749,,,categorical-20002-both_sexes-1537-
Ever thought that life not worth living,20479,continuous,,Online follow-up > Mental health > Self-harm behaviours,,127453,,0.0109871773612008,0.0273860604485962,,,continuous-20479-both_sexes--
O13 Gestational [pregnancy-induced] hypertension without significant proteinuria,132186,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,623,212990,0.0110350144514832,0.519830805931411,,,icd_first_occurrence-132186-both_sexes--
IOP Goldmann left custom,IOP_Goldmann_left_custom,continuous,,,,83193,,0.0111251959463066,0.187252706403466,,,continuous-IOP_Goldmann_left_custom-both_sexes--custom
Volume of grey matter in Thalamus (left),25878,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.0112234961921427,-0.091594789650746,,,continuous-25878-both_sexes--irnt
"L98 Other disorders of skin and subcutaneous tissue, not elsewhere classified",131836,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,37125,357716,0.0114442060564043,0.0621348575356239,,,icd_first_occurrence-131836-both_sexes--
K22 Other diseases of oesophagus,131586,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,13559,381282,0.0117074295709668,0.11070572570488,,,icd_first_occurrence-131586-both_sexes--
Triglycerides,30870,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376509,,0.0117533415937473,-0.0194662465490691,,,continuous-30870-both_sexes--irnt
"Volume of grey matter in Supramarginal Gyrus, anterior division (left)",25818,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.011905182971859,0.0918603111010336,,,continuous-25818-both_sexes--irnt
Peak expiratory flow (PEF),3064,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,360076,,0.0119162788246585,0.0169467903659905,,,continuous-3064-both_sexes--irnt
Type 1 diabetes,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,332,394451,0.0119891660903721,-0.704693387903498,,,categorical-20002-both_sexes-1222-
AFFMIadjBMI custom,AFFMIadjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387704,,0.0123161687868781,0.0114810171203286,,,continuous-AFFMIadjBMI_custom-both_sexes--custom
Z66.3 Cervical vertebra,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1827,393014,0.0125020753701597,-0.29720840522774,,,categorical-41210-both_sexes-Z663-
"Mother's age at death",3526,continuous,,UK Biobank Assessment Centre > Touchscreen > Family history,,234028,,0.012821571610113,0.0248683368882422,,,continuous-3526-both_sexes--irnt
"Volume of grey matter in Superior Temporal Gyrus, anterior division (right)",25799,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.0129668014220134,-0.0888767962586743,,,continuous-25799-both_sexes--irnt
K34.1 Annuloplasty of mitral valve,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,216,394625,0.0130854359810787,0.841853362137463,,,categorical-41210-both_sexes-K341-
Trunk fat percentage,23127,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387739,,0.0131117155027789,-0.0178123794884536,,,continuous-23127-both_sexes--irnt
R22.9 Unspecified vacuum delivery,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,673,212940,0.0132554574732951,-0.492977223934904,,,categorical-41200-both_sexes-R229-
S45.6 Removal of foreign body from skin NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,206,394635,0.0135466233053374,0.879601467886864,,,categorical-41200-both_sexes-S456-
H33.4 Anterior resection of rectum and anastomosis NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,531,394310,0.0135502062348746,0.546583490781382,,,categorical-41200-both_sexes-H334-
Thyroxine sodium,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1081,393702,0.0137561619259109,-0.380930839657395,,,categorical-20003-both_sexes-1140874852-
F17 Mental and behavioural disorders due to use of tobacco,130868,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,30640,364201,0.01384504440077,0.0718914127565373,,,icd_first_occurrence-130868-both_sexes--
Zolpidem,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,254,394529,0.0139179625346353,0.779403538059863,,,categorical-20003-both_sexes-1140865016-
BFPadjBMI female custom,BFPadjBMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,210117,,0.0139866506564297,-0.0298984997916988,,,continuous-BFPadjBMI_female_custom-females--custom
Mean L1 in inferior cerebellar peduncle on FA skeleton (left),25211,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.014026906416654,-0.0959032971587129,,,continuous-25211-both_sexes--irnt
J18.2 Total cholecystectomy and exploration of common bile duct,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,261,394580,0.0141030804342794,0.775267886728223,,,categorical-41200-both_sexes-J182-
Y98.2 Radiology of two body areas,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,9040,385801,0.0141531444564326,-0.135735339975897,,,categorical-41210-both_sexes-Y982-
Weighted-mean OD in tract acoustic radiation (right),25678,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.0144441374877064,0.0945588197643074,,,continuous-25678-both_sexes--irnt
I46 Cardiac arrest,131346,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,1405,393436,0.0145290827315866,-0.330589287372933,,,icd_first_occurrence-131346-both_sexes--
IOP Goldmann right custom,IOP_Goldmann_right_custom,continuous,,,,83332,,0.0146294927950874,0.177171955832148,,,continuous-IOP_Goldmann_right_custom-both_sexes--custom
K70 Alcoholic liver disease,131658,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,1284,393557,0.0147272963758911,-0.349828600692064,,,icd_first_occurrence-131658-both_sexes--
Weight change during worst episode of depression,20536,categorical,,Online follow-up > Mental health > Depression,,10640,51006,0.0150572739260855,-0.130928441106661,,,categorical-20536-both_sexes-1-
L29.4 Endarterectomy of carotid artery and patch repair of carotid artery,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,314,394527,0.0152108803913875,-0.696482173526246,,,categorical-41200-both_sexes-L294-
N21 Calculus of lower urinary tract,132038,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,924,393917,0.0156028118247508,0.405504280683662,,,icd_first_occurrence-132038-both_sexes--
Allopurinol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,4133,177062,0.0157792563755296,0.187998134437687,,,categorical-20003-both_sexes-1140875408-
Z92.5 Back NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,320,394521,0.0158144170954893,0.688946860038693,,,categorical-41210-both_sexes-Z925-
M47.8 Other specified urethral catheterisation of bladder,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,171,394670,0.0162126464508604,0.930509882307087,,,categorical-41210-both_sexes-M478-
Position of the shoulder on the pulse waveform,4200,continuous,,UK Biobank Assessment Centre > Physical measures > Arterial stiffness,,129986,,0.016418229675121,-0.0321634827025074,,,continuous-4200-both_sexes--irnt
Sodium in urine,30530,continuous,,Biological samples > Assay results > Urine assays,,382952,,0.0170072875784749,0.0185723212718522,,,continuous-30530-both_sexes--irnt
Z92.1 Head NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1737,393104,0.0170529152671787,-0.289780487951362,,,categorical-41210-both_sexes-Z921-
Forced expiratory volume in 1-second (FEV1),3063,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,360076,,0.0171436110139308,0.0144474892637369,,,continuous-3063-both_sexes--irnt
Mean FA in pontine crossing tract on FA skeleton,25057,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.017700620451912,-0.0901773049870921,,,continuous-25057-both_sexes--irnt
alanine,alanine,continuous,,Biological samples > Assay results > Blood assays > Biological samples > NMR metabolomics,,94994,,0.0178190972882744,0.0385038869084176,,,continuous-alanine-both_sexes--custom
Saturated fat,100006,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.0180810011948332,0.0486372350460206,,,continuous-100006-both_sexes--irnt
Fracture finger,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,407,394376,0.0181879504797614,0.588324420509512,,,categorical-20002-both_sexes-1639-
Iritis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,179,394604,0.0181961396525038,-0.895268447924545,,,categorical-20002-both_sexes-1530-
Weighted-mean ICVF in tract parahippocampal part of cingulum (left),25656,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.019313483051931,0.0920075058815095,,,continuous-25656-both_sexes--irnt
L71.4 Percutaneous transluminal cannulation of artery,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,344,394497,0.0196615067542853,-0.642339726065129,,,categorical-41210-both_sexes-L714-
Timoptol 0.25% eye drops,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,231,394552,0.0196650917268263,0.783705758546277,,,categorical-20003-both_sexes-1140881882-
C21 Malignant neoplasm of anus and anal canal,C21,icd10,,Chapter II Neoplasms | C15-C26 Malignant neoplasms of digestive organs | C21 Malignant neoplasm of anus and anal canal,,171,394670,0.0198017327453765,0.890863753145138,,,icd10-C21-both_sexes--
M43.3 Endoscopic overdistension of bladder NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,208,394633,0.020014804126335,0.818406215761305,,,categorical-41200-both_sexes-M433-
"Medication for cholesterol, blood pressure or diabetes",6177,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,44767,134780,0.0202413203694921,-0.0622233149555484,,,categorical-6177-both_sexes-2-
K25.5 Mitral valve repair NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,208,394633,0.0203078178241359,0.808281914312326,,,categorical-41200-both_sexes-K255-
B36 Other superficial mycoses,130228,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,4399,390442,0.0212583012577297,0.175532025725985,,,icd_first_occurrence-130228-both_sexes--
Corneal resistance factor right custom,Corneal_resistance_factor_right_custom,continuous,,,,83332,,0.0212792538088073,0.102722205733201,,,continuous-Corneal_resistance_factor_right_custom-both_sexes--custom
Ureteric obstruction/hydronephrosis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,269,394514,0.0212875254479972,0.718280934065745,,,categorical-20002-both_sexes-1200-
M53.8 Other specified vaginal operations to support outlet of female bladder,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,198,213415,0.0216751784250423,0.836488475877517,,,categorical-41210-both_sexes-M538-
E78 Disorders of lipoprotein metabolism and other lipidaemias,130814,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,81328,313513,0.0217041416997834,-0.0436012249740199,,,icd_first_occurrence-130814-both_sexes--
M48 Other spondylopathies,131918,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,9676,385165,0.0217940702009996,-0.118284527219054,,,icd_first_occurrence-131918-both_sexes--
J17 Pneumonia in diseases classified elsewhere,131454,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,169,394672,0.0218281076158153,-0.886867286312887,,,icd_first_occurrence-131454-both_sexes--
Simvastatin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,45015,349768,0.0222578323966209,-0.0575030394485258,,,categorical-20003-both_sexes-1140861958-
H20 Iridocyclitis,131158,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,2067,392774,0.0224520459031727,-0.252849819374694,,,icd_first_occurrence-131158-both_sexes--
V33.7 Primary microdiscectomy of lumbar intervertebral disc,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,796,394045,0.0225964527463888,0.408273009939744,,,categorical-41200-both_sexes-V337-
G72 Other myopathies,131096,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,252,394589,0.0226102759845097,-0.727073309027306,,,icd_first_occurrence-131096-both_sexes--
G74.2 Creation of temporary ileostomy,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,325,394516,0.0226878183147584,0.640345737729652,,,categorical-41210-both_sexes-G742-
Mental health problems ever diagnosed by a professional,20544,categorical,,Online follow-up > Mental health > Mental distress,,174,127749,0.0229197565102788,-0.889120570223877,,,categorical-20544-both_sexes-14-
