nodes,in_gwas_catalog,alc_val,ALC_TRAIT,SMOK_TRAIT,SUD_TRAIT,NEUROPSYCH_TRAIT,HGNC Symbol,Approved name,family,GeneSet,adjP,N_Geneset,Heart_Atrial_Appendage,Heart_Left_Ventricle,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Colon_Transverse,Esophagus_Mucosa,Liver,Minor_Salivary_Gland,Pancreas,Small_Intestine_Terminal_Ileum,Stomach,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Adrenal_Gland,Cells_Cultured_fibroblasts,Muscle_Skeletal,Whole_Blood,Bladder,Kidney_Cortex,genebass_phewas
CACNG4,TRUE,FALSE,,,,"{'mental or behavioural disorder: bipolar disorder and schizophrenia (PMID: 21057379)', 'depressive symptom measurement, response to antidepressant: response to antidepressants (symptom improvement) (PMID: 33589590)'}",,,,"['Stomach', 'Brain_Amygdala', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Hippocampus', 'Brain_Hypothalamus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra']","[0.000264488, 6.3e-06, 0.00480754, 0.000927226, 0.009738567, 5.23e-05, 0.018007353, 0.014299599, 0.000201512, 0.004523032, 0.008042111, 7.29e-09, 0.008067638, 1.48e-05]",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"['operative procedures - main opcs4', 'mean fa in retrolenticular part of internal capsule on fa skeleton (left)', 'mean md in retrolenticular part of internal capsule on fa skeleton (left)', 'mean l2 in retrolenticular part of internal capsule on fa skeleton (left)', 'mean l3 in retrolenticular part of internal capsule on fa skeleton (left)', 'waist circumference adjusted for body mass index (wcadjbmi) male', 'operative procedures - main opcs4', 'mean fa in retrolenticular part of internal capsule on fa skeleton (left)', 'mean md in retrolenticular part of internal capsule on fa skeleton (left)', 'mean l2 in retrolenticular part of internal capsule on fa skeleton (left)', 'mean l3 in retrolenticular part of internal capsule on fa skeleton (left)', 'waist circumference adjusted for body mass index (wcadjbmi) male', 'non-cancer illness code, self-reported', 'operative procedures - main opcs4', 'volume of grey matter in juxtapositional lobule cortex (formerly supplementary motor cortex) (left)', 'shbg', 'date n93 first reported (other abnormal uterine and vaginal bleeding)']"
CASQ2,TRUE,FALSE,,,,,,,,"['Heart_Atrial_Appendage', 'Heart_Left_Ventricle', 'Skin_Not_Sun_Exposed_Suprapubic', 'Colon_Transverse', 'Brain_Amygdala', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Hippocampus', 'Brain_Hypothalamus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra', 'Adrenal_Gland', 'Muscle_Skeletal', 'Bladder', 'Kidney_Cortex']","[9.75e-06, 1.71e-06, 0.000559154, 0.010612249, 6.3e-06, 0.00480754, 0.000927226, 0.009738567, 5.23e-05, 0.018007353, 0.014299599, 0.000201512, 0.004523032, 0.008042111, 7.29e-09, 0.008067638, 1.48e-05, 0.007778759, 1.51e-05, 0.019506718, 2.19e-13]",21,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"['operative procedures - main opcs4', 'operative procedures - secondary opcs4']"
CCDC71,TRUE,FALSE,,,,,,,,"['Heart_Atrial_Appendage', 'Heart_Left_Ventricle', 'Liver', 'Pancreas', 'Brain_Amygdala', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Hippocampus', 'Brain_Hypothalamus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra', 'Cells_Cultured_fibroblasts', 'Muscle_Skeletal', 'Whole_Blood', 'Kidney_Cortex']","[9.75e-06, 1.71e-06, 2.02e-14, 3.45e-08, 6.3e-06, 0.00480754, 0.000927226, 0.009738567, 5.23e-05, 0.018007353, 0.014299599, 0.000201512, 0.004523032, 0.008042111, 7.29e-09, 0.008067638, 1.48e-05, 0.014497681, 1.51e-05, 0.000130212, 2.19e-13]",21,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"['treatment/medication code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'date j80 first reported (adult respiratory distress syndrome)', 'vitamin b12', 'treatment/medication code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'date j80 first reported (adult respiratory distress syndrome)', 'body mass index (bmi)', 'weight', 'weight', 'body fat percentage', 'whole body fat mass', 'body mass index (bmi)', 'basal metabolic rate', 'leg fat percentage (right)', 'leg fat mass (right)', 'leg fat percentage (left)', 'leg fat mass (left)', 'leg fat-free mass (left)', 'arm fat percentage (right)', 'arm fat mass (right)', 'arm fat-free mass (right)', 'arm predicted mass (right)', 'arm fat percentage (left)', 'arm fat mass (left)', 'arm fat-free mass (left)', 'arm predicted mass (left)', 'trunk fat percentage', 'trunk fat mass', 'waist circumference', 'hip circumference', 'appendicular fat free mass index adjusted for body mass index (affmiadjbmi) female', 'body mass index (bmi)', 'body fat percentage', 'body fat percentage female', 'hip circumference', 'hip circumference female', 'waist circumference', 'weight', 'weight female', 'weight adjusted for height', 'weight adjusted for height female']"
CD24,TRUE,FALSE,,,,"{'alzheimer disease, age at onset: alzheimer disease and age of onset (PMID: 26830138)'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['date h54 first reported (blindness and low vision)', 'date h54 first reported (blindness and low vision)', 'non-cancer illness code, self-reported', 'operative procedures - main opcs4']"
CDK8,TRUE,TRUE,"{'alcohol consumption measurement: drinks per week (PMID: 36477530)', 'alcohol consumption measurement: alcohol consumption (drinks per week) (PMID: 30643251)', 'alcohol consumption measurement: alcohol consumption (drinks per week) (mtag) (PMID: 30643251)'}",{'smoking initiation: smoking initiation (PMID: 36477530)'},,"{'unipolar depression, bipolar disorder: bipolar disorder or major depressive disorder (PMID: 31926635)'}",,,,"['Heart_Atrial_Appendage', 'Heart_Left_Ventricle', 'Colon_Transverse', 'Liver', 'Pancreas', 'Brain_Amygdala', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Hippocampus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra', 'Muscle_Skeletal', 'Whole_Blood', 'Bladder', 'Kidney_Cortex']","[9.75e-06, 1.71e-06, 0.010612249, 2.02e-14, 3.45e-08, 6.3e-06, 0.00480754, 0.000927226, 0.009738567, 5.23e-05, 0.018007353, 0.000201512, 0.008042111, 7.29e-09, 0.008067638, 1.48e-05, 1.51e-05, 0.000130212, 0.019506718, 2.19e-13]",20,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"['treatment/medication code', 'treatment/medication code', 'operative procedures - main opcs4', '', '', 'non-cancer illness code, self-reported', 'treatment/medication code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'mean corpuscular haemoglobin', '', '', 'operation code', 'operation code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'volume of grey matter in inferior temporal gyrus, temporooccipital part (right)', 'date d51 first reported (vitamin b12 deficiency anaemia)', 'date h00 first reported (hordeolum and chalazion)', 'date l52 first reported (erythema nodosum)']"
CELF1,TRUE,TRUE,"{'alcohol use disorder measurement: problematic alcohol use (PMID: 37250466)', 'alcohol use disorder measurement: alcohol use disorder (total score) (PMID: 30336701)'}",,,"{'loneliness measurement: feeling lonely (PMID: 29500382)', 'neuroticism measurement: neuroticism (PMID: 29255261)', ""alzheimer disease: alzheimer's disease (PMID: 31473137)"", ""alzheimer disease, family history of alzheimer’s disease: alzheimer's disease or family history of alzheimer's disease (PMID: 29777097)"", 'neuroticism measurement: neuroticism conditioned on educational attainment (multi-trait conditioning and joint analysis) (PMID: 33349686)', ""alzheimer disease, fasting blood glucose measurement: alzheimer's disease or fasting glucose levels (pleiotropy) (PMID: 30805717)"", ""alzheimer disease: alzheimer's disease (late onset) (PMID: 24162737)"", 'neuroticism measurement: neuroticism conditioned on cognitive performance (multi-trait conditioning and joint analysis) (PMID: 33349686)'}",,,,"['Heart_Atrial_Appendage', 'Heart_Left_Ventricle', 'Pancreas', 'Brain_Amygdala', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Hippocampus', 'Brain_Hypothalamus', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra', 'Whole_Blood', 'Kidney_Cortex']","[9.75e-06, 1.71e-06, 3.45e-08, 6.3e-06, 0.00480754, 5.23e-05, 0.018007353, 0.000201512, 0.004523032, 7.29e-09, 0.008067638, 1.48e-05, 0.000130212, 2.19e-13]",14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"['non-cancer illness code, self-reported', 'treatment/medication code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'date f81 first reported (specific developmental disorders of scholastic skills)', 'recent changes in speed/amount of moving or speaking', 'non-cancer illness code, self-reported', 'treatment/medication code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'date f81 first reported (specific developmental disorders of scholastic skills)', 'age at menopause (last menstrual period)']"
CELSR3,TRUE,FALSE,,,,"{'anorexia nervosa: typical-onset anorexia nervosa (PMID: 36324647)', 'intelligence, self reported educational attainment: cognitive ability (mtag) (PMID: 29186694)'}",,,,"['Skin_Not_Sun_Exposed_Suprapubic', 'Colon_Transverse', 'Stomach', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Hypothalamus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Adrenal_Gland', 'Cells_Cultured_fibroblasts']","[0.000559154, 0.010612249, 0.000264488, 0.00480754, 0.009738567, 5.23e-05, 0.018007353, 0.014299599, 0.004523032, 0.008042111, 0.007778759, 0.014497681]",12,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"['operative procedures - main opcs4', 'standing height', 'standing height', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'non-cancer illness code, self-reported', 'red blood cell (erythrocyte) distribution width']"
CEP85L,TRUE,FALSE,,{'smoking initiation: smoking initiation (PMID: 36477530)'},,,CEP85L,centrosomal protein 85 like,,"['Heart_Atrial_Appendage', 'Heart_Left_Ventricle', 'Skin_Not_Sun_Exposed_Suprapubic', 'Skin_Sun_Exposed_Lower_leg', 'Esophagus_Mucosa', 'Liver', 'Pancreas', 'Brain_Amygdala', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Hippocampus', 'Brain_Hypothalamus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra', 'Whole_Blood', 'Bladder', 'Kidney_Cortex']","[9.75e-06, 1.71e-06, 0.000559154, 0.007854812, 0.01517091, 2.02e-14, 3.45e-08, 6.3e-06, 0.00480754, 0.000927226, 0.009738567, 5.23e-05, 0.018007353, 0.014299599, 0.000201512, 0.004523032, 0.008042111, 7.29e-09, 0.008067638, 1.48e-05, 0.000130212, 0.019506718, 2.19e-13]",23,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"['trouble falling or staying asleep, or sleeping too much', 'mental health problems ever diagnosed by a professional', 'mean fa in posterior limb of internal capsule on fa skeleton (left)', 'weighted-mean mo in tract inferior longitudinal fasciculus (right)', 'trouble falling or staying asleep, or sleeping too much']"
CHRNB2,TRUE,FALSE,,"{'cigarettes per day measurement: smoking behaviour (cigarettes smoked per day) (PMID: 30643251)', 'cigarettes per day measurement: cigarettes smoked per day (PMID: 36477530)', 'cigarettes per day measurement: cigarettes smoked per day (mtag) (PMID: 30643251)', 'cigarettes per day measurement: smoking behaviour (cigarettes smoked per day) (PMID: 30679032)'}",,,,,,"['Brain_Amygdala', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Hippocampus', 'Brain_Hypothalamus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Substantia_nigra']","[6.3e-06, 0.00480754, 0.000927226, 0.009738567, 5.23e-05, 0.018007353, 0.014299599, 0.000201512, 0.004523032, 0.008042111, 7.29e-09, 1.48e-05]",12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"['ever had period extreme irritability', 'date k45 first reported (other abdominal hernia)', 'ever had period extreme irritability', 'treatment/medication code', 'operative procedures - secondary opcs4', 'c-reactive protein']"
CKB,TRUE,FALSE,,,,"{'neuroticism measurement, cognitive function measurement: personality traits or cognitive traits (multivariate analysis) (PMID: 37365406)', 'autism spectrum disorder, schizophrenia: autism spectrum disorder or schizophrenia (PMID: 28540026)', 'intelligence: general cognitive ability (PMID: 29844566)', 'attention deficit hyperactivity disorder, autism spectrum disorder, intelligence: attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy) (PMID: 35764056)', 'schizophrenia: schizophrenia (PMID: 25056061)'}",,,,"['Liver', 'Cells_Cultured_fibroblasts', 'Whole_Blood']","[2.02e-14, 0.014497681, 0.000130212]",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"['operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'recent trouble concentrating on things', 'weighted-mean l1 in tract middle cerebellar peduncle', 'date n05 first reported (unspecified nephritic syndrome)', 'recent feelings of depression', 'recent lack of interest or pleasure in doing things', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'recent trouble concentrating on things', 'weighted-mean l1 in tract middle cerebellar peduncle', 'date n05 first reported (unspecified nephritic syndrome)', 'operative procedures - secondary opcs4', 'volume of grey matter in temporal fusiform cortex, posterior division (left)']"
CPSF4,TRUE,FALSE,,{'smoking behavior: smoking status (ever vs never smokers) (PMID: 30643258)'},,{'facial emotion recognition measurement: facial emotion recognition (sad faces) (PMID: 28608620)'},,,,"['Heart_Atrial_Appendage', 'Heart_Left_Ventricle', 'Liver', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Putamen_basal_ganglia', 'Whole_Blood', 'Kidney_Cortex']","[9.75e-06, 1.71e-06, 2.02e-14, 0.000927226, 0.009738567, 5.23e-05, 7.29e-09, 0.000130212, 2.19e-13]",9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"['treatment/medication code', 'treatment/medication code', 'operative procedures - main opcs4', 'weighted-mean mo in tract anterior thalamic radiation (right)', 'volume of grey matter in temporal pole (left)', 'operative procedures - secondary opcs4', 'ecg, load', 'maximum workload during fitness test', 'treatment/medication code', 'treatment/medication code', 'operative procedures - main opcs4', 'weighted-mean mo in tract anterior thalamic radiation (right)', 'volume of grey matter in temporal pole (left)', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'mean l2 in uncinate fasciculus on fa skeleton (left)', 'date q40 first reported (other congenital malformations of upper alimentary tract)']"
CYP2A13,TRUE,FALSE,,{'nicotine metabolite ratio: nicotine metabolite ratio in current smokers (PMID: 27488534)'},,,CYP2A13,cytochrome P450 family 2 subfamily A member 6,Cytochrome P450,['Liver'],[2.02e-14],1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"['mean od in anterior corona radiata on fa skeleton (left)', 'date k14 first reported (diseases of tongue)', 'date o21 first reported (excessive vomiting in pregnancy)']"
CYP2B6,TRUE,FALSE,,"{'cigarettes per day measurement: cigarettes smoked per day (PMID: 36477530)', 'nicotine metabolite ratio: nicotine metabolite ratio in current smokers (PMID: 27488534)', 'cigarettes per day measurement: cigarettes smoked per day (mtag) (PMID: 36376304)', 'smoking behavior: smoking behavior (PMID: 20418888)'}",,,CYP2B6,cytochrome P450 family 2 subfamily B member 6,Cytochrome P450,"['Colon_Transverse', 'Liver', 'Small_Intestine_Terminal_Ileum', 'Kidney_Cortex']","[0.010612249, 2.02e-14, 0.000166514, 2.19e-13]",4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"['mean md in body of corpus callosum on fa skeleton', 'mean md in inferior cerebellar peduncle on fa skeleton (right)', 'mean md in inferior cerebellar peduncle on fa skeleton (left)', 'mean md in cingulum cingulate gyrus on fa skeleton (right)', 'mean l2 in inferior cerebellar peduncle on fa skeleton (right)', 'mean l2 in inferior cerebellar peduncle on fa skeleton (left)', 'mean l3 in body of corpus callosum on fa skeleton', 'mean l3 in inferior cerebellar peduncle on fa skeleton (right)', 'mean l3 in inferior cerebellar peduncle on fa skeleton (left)', 'mean icvf in uncinate fasciculus on fa skeleton (right)', 'mean isovf in body of corpus callosum on fa skeleton', 'weighted-mean md in tract superior thalamic radiation (left)', 'weighted-mean l3 in tract superior thalamic radiation (left)', 'operative procedures - secondary opcs4', 'mean md in body of corpus callosum on fa skeleton', 'mean md in inferior cerebellar peduncle on fa skeleton (right)', 'mean md in inferior cerebellar peduncle on fa skeleton (left)', 'mean md in cingulum cingulate gyrus on fa skeleton (right)', 'mean l2 in inferior cerebellar peduncle on fa skeleton (right)', 'mean l2 in inferior cerebellar peduncle on fa skeleton (left)', 'mean l3 in body of corpus callosum on fa skeleton', 'mean l3 in inferior cerebellar peduncle on fa skeleton (right)', 'mean l3 in inferior cerebellar peduncle on fa skeleton (left)', 'mean icvf in uncinate fasciculus on fa skeleton (right)', 'weighted-mean md in tract superior thalamic radiation (left)', 'weighted-mean l3 in tract superior thalamic radiation (left)']"
CYP2C18,TRUE,FALSE,,,,"{'plasma clozapine-to-n-desmethylclozapine ratio measurement: plasma clozapine-norclozapine ratio in treatment-resistant schizophrenia (PMID: 36804072)', 'plasma clozapine-to-n-desmethylclozapine ratio measurement: plasma clozapine-norclozapine ratio in treatment-resistant schizophrenia (PMID: 30922102)'}",CYP2C18,cytochrome P450 family 2 subfamily C member 18,Cytochrome P450,"['Skin_Not_Sun_Exposed_Suprapubic', 'Skin_Sun_Exposed_Lower_leg', 'Esophagus_Mucosa', 'Liver', 'Small_Intestine_Terminal_Ileum', 'Stomach']","[0.000559154, 0.007854812, 0.01517091, 2.02e-14, 0.000166514, 0.000264488]",6,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"['operative procedures - secondary opcs4', 'leg predicted mass (right)', 'trunk fat-free mass', 'trunk predicted mass', 'red blood cell (erythrocyte) distribution width', 'whole body fat free mass adjusted for body mass index (wbffmadjbmi) female', 'standing height female', 'date f02 first reported (dementia in other diseases classified elsewhere)', 'non-cancer illness code, self-reported', 'forced expiratory volume in 1-second (fev1), predicted percentage', 'trunk predicted mass', 'red blood cell (erythrocyte) distribution width', 'whole body fat free mass adjusted for body mass index (wbffmadjbmi) female', 'standing height female', 'non-cancer illness code, self-reported', 'trunk fat-free mass', 'trunk predicted mass', 'red blood cell (erythrocyte) distribution width', 'whole body fat free mass adjusted for body mass index (wbffmadjbmi) female', 'standing height female', 'operative procedures - main opcs4', 'date d51 first reported (vitamin b12 deficiency anaemia)']"
CYP2E1,TRUE,FALSE,,,,,CYP2E1,cytochrome P450 family 2 subfamily E member 1,Cytochrome P450,"['Heart_Atrial_Appendage', 'Skin_Not_Sun_Exposed_Suprapubic', 'Skin_Sun_Exposed_Lower_leg', 'Colon_Transverse', 'Esophagus_Mucosa', 'Liver', 'Small_Intestine_Terminal_Ileum', 'Brain_Amygdala', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Putamen_basal_ganglia', 'Brain_Substantia_nigra', 'Adrenal_Gland', 'Muscle_Skeletal', 'Whole_Blood', 'Kidney_Cortex']","[9.75e-06, 0.000559154, 0.007854812, 0.010612249, 0.01517091, 2.02e-14, 0.000166514, 6.3e-06, 0.009738567, 5.23e-05, 7.29e-09, 1.48e-05, 0.007778759, 1.51e-05, 0.000130212, 2.19e-13]",16,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"['date i83 first reported (varicose veins of lower extremities)', 'date k44 first reported (diaphragmatic hernia)']"
CYP3A43,TRUE,FALSE,,,,,CYP3A43,cytochrome P450 family 3 subfamily A member 5,Cytochrome P450,"['Liver', 'Pancreas']","[2.02e-14, 3.45e-08]",2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"['operative procedures - main opcs4', 'cancer code, self-reported', 'operative procedures - main opcs4', 'operative procedures - main opcs4', '', '', '', 'date f23 first reported (acute and transient psychotic disorders)', 'date i67 first reported (other cerebrovascular diseases)', 'date k75 first reported (other inflammatory liver diseases)']"
CYP3A5,TRUE,FALSE,,,,,CYP3A5,cytochrome P450 family 3 subfamily A member 43,Cytochrome P450,"['Skin_Not_Sun_Exposed_Suprapubic', 'Skin_Sun_Exposed_Lower_leg', 'Colon_Transverse', 'Esophagus_Mucosa', 'Liver', 'Pancreas', 'Small_Intestine_Terminal_Ileum', 'Stomach', 'Adrenal_Gland']","[0.000559154, 0.007854812, 0.010612249, 0.01517091, 2.02e-14, 3.45e-08, 0.000166514, 0.000264488, 0.007778759]",9,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"['operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'mean md in posterior corona radiata on fa skeleton (left)', 'mean l3 in posterior corona radiata on fa skeleton (left)', 'operative procedures - secondary opcs4', 'mean md in posterior corona radiata on fa skeleton (left)', 'mean l3 in posterior corona radiata on fa skeleton (left)']"
